puzzle_index,board,solution_length,execution_time_ms,nodes_expanded,solvable,algorithm
0,ABCDEFG#IJKHMNOL,2,0.008,3,true,A*-h1
1,ABCDEFGHIJ#LMNKO,2,0.013,3,true,A*-h1
2,ABCDEFGHIJKLM#NO,2,0.007,3,true,A*-h1
3,ABCDEFG#IJKHMNOL,2,0.007,3,true,A*-h1
4,ABCDEFGHIJ#KMNOL,2,0.01,3,true,A*-h1
5,ABCDEFGHIJKLM#NO,2,0.008,3,true,A*-h1
6,ABCDEFGHIJ#LMNKO,2,0.024,3,true,A*-h1
7,ABCDEFGHIJKLM#NO,2,0.007,3,true,A*-h1
8,ABCDEFG#IJKHMNOL,2,0.011,3,true,A*-h1
9,ABCDEFGHIJ#KMNOL,2,0.013,3,true,A*-h1
10,AB#CEFGDIJKHMNOL,4,0.014,5,true,A*-h1
11,AB#CEFGDIJKHMNOL,4,0.012,5,true,A*-h1
12,AB#DEFCGIJKHMNOL,4,0.015,5,true,A*-h1
13,ABCDEFGHINJLM#KO,4,0.016,5,true,A*-h1
14,ABCDEFGHIJLOMNK#,4,0.014,5,true,A*-h1
15,ABCDEFGHIJOKMNL#,4,0.014,5,true,A*-h1
16,ABCDE#GHIFKLMJNO,4,0.013,5,true,A*-h1
17,AB#DEFCGIJKHMNOL,4,0.014,5,true,A*-h1
18,ABCDEFGH#JKLIMNO,4,0.01,5,true,A*-h1
19,ABCDEFGH#IKLMJNO,4,0.01,5,true,A*-h1
20,#AGCEBFDIJKHMNOL,8,0.02,9,true,A*-h1
21,AFBCE#HDIJGKMNOL,8,0.018,9,true,A*-h1
22,EABCIFGD#JKHMNOL,8,0.017,9,true,A*-h1
23,ABCDEFGH#MKLJINO,8,0.018,9,true,A*-h1
24,ABCDEFL#IJHGMNKO,8,0.027,9,true,A*-h1
25,ABCDE#GHMFJKNIOL,8,0.021,9,true,A*-h1
26,ABCDFGKHEI#LMJNO,8,0.022,9,true,A*-h1
27,ABCDEFGHMIJLNKO#,8,0.027,10,true,A*-h1
28,EACDB#GHIFKLMJNO,8,0.05,13,true,A*-h1
29,AFBCIEGD#JKHMNOL,8,0.027,9,true,A*-h1
30,ABDHEFGCIJ#LMNKO,8,0.043,15,true,A*-h1
31,FBDHAEC#IJGKMNOL,12,0.08,23,true,A*-h1
32,ABCDEGOHIJFLM#KN,14,0.2,61,true,A*-h1
33,EC#DBAJHIGFLMNKO,14,0.075,19,true,A*-h1
34,BGDHACF#ENJLIMKO,16,0.049,17,true,A*-h1
35,BCGDAFJH#EKLINMO,16,0.155,59,true,A*-h1
36,BCDHAFGOEJLKIMN#,16,0.042,17,true,A*-h1
37,AFBGEJKC#NHDIMOL,16,0.061,18,true,A*-h1
38,EB#CFJGDAIKHMNOL,16,0.547,149,true,A*-h1
39,FCGDBAKH#EJLIMNO,16,0.071,21,true,A*-h1
40,BGFCAJLDENKHI#MO,20,0.36,109,true,A*-h1
41,AFCGIEBD#NKHJMOL,22,1.811,546,true,A*-h1
