puzzle_index,thread_id,solution,nodes_expanded,per_puzzle_ms,threads_used
0,0,2,6,0.007879,1
1,0,2,10,0.0074,1
2,0,2,10,0.006122,1
3,0,2,6,0.003231,1
4,0,2,15,0.008414,1
5,0,2,10,0.005763,1
6,0,2,10,0.005674,1
7,0,2,10,0.005,1
8,0,2,6,0.002821,1
9,0,2,15,0.00763,1
10,0,4,52,0.030238,1
11,0,4,52,0.029401,1
12,0,4,40,0.021141,1
13,0,4,39,0.021646,1
14,0,4,26,0.014716,1
15,0,4,37,0.020959,1
16,0,4,44,0.024127,1
17,0,4,40,0.019806,1
18,0,4,39,0.021805,1
19,0,4,49,0.028228,1
20,0,8,730,0.468919,1
21,0,8,832,0.55768,1
22,0,8,585,0.326448,1
23,0,8,763,0.518763,1
24,0,8,743,0.548671,1
25,0,8,865,0.655621,1
26,0,8,877,1.46113,1
27,0,8,858,0.516599,1
28,0,8,1093,1.05566,1
29,0,8,617,0.432982,1
30,0,8,886,0.561732,1
31,0,12,11575,7.99729,1
32,0,14,56746,96.6406,1
33,0,14,61381,69.2156,1
34,0,16,177669,317.643,1
35,0,-1,208640,338.679,1
36,0,16,129438,208.549,1
37,0,16,206195,333.669,1
38,0,-1,208871,814.913,1
39,0,-1,208640,557.798,1
40,0,-1,208693,274.64,1
41,0,-1,208640,279.405,1
