puzzle_index,thread_id,solution,nodes_expanded,per_puzzle_ms,threads_used
0,0,2,6,0.00703,1
1,0,2,10,0.007827,1
2,0,2,10,0.006107,1
3,0,2,6,0.002976,1
4,0,2,15,0.007705,1
5,0,2,10,0.006368,1
6,0,2,10,0.009044,1
7,0,2,10,0.009022,1
8,0,2,6,0.005117,1
9,0,2,15,0.012213,1
10,0,4,52,0.038093,1
11,0,4,52,0.038263,1
12,0,4,40,0.02317,1
13,0,4,39,0.018693,1
14,0,4,26,0.012949,1
15,0,4,37,0.019252,1
16,0,4,44,0.021699,1
17,0,4,40,0.018184,1
18,0,4,39,0.018711,1
19,0,4,49,0.025119,1
20,0,8,730,0.378163,1
21,0,8,832,0.405303,1
22,0,8,585,0.246055,1
23,0,8,763,0.375832,1
24,0,8,743,0.418104,1
25,0,8,865,0.47444,1
26,0,8,877,0.45241,1
27,0,8,858,0.427438,1
28,0,8,1093,0.517871,1
29,0,8,617,0.334532,1
30,0,8,886,0.435663,1
31,0,12,11575,6.8807,1
32,0,14,56746,67.7605,1
33,0,14,61381,61.3542,1
34,0,16,177669,252.234,1
35,0,-1,208640,285.128,1
36,0,16,129438,190.67,1
37,0,16,206195,285.593,1
38,0,-1,208871,322.436,1
39,0,-1,208640,367.623,1
40,0,-1,208693,366.56,1
41,0,-1,208640,305.157,1
