Threads,Thread_ID,Puzzles_Assigned,Total_Time_ms,Avg_Time_per_Puzzle_ms,Total_Nodes,Load_Balance_Score
2,0,24,1244.848,51.869,786610,97.96
2,1,18,1504.371,83.576,909243,97.96
4,0,18,712.632,39.591,398237,36.00
4,1,8,987.652,123.457,430442,96.00
4,2,9,910.159,101.129,388979,99.00
4,3,7,1009.728,144.247,478195,91.00
8,0,14,709.843,50.703,389941,-224.00
8,1,4,1216.197,304.049,220993,96.00
8,2,3,1226.344,408.781,207070,84.00
8,3,4,1178.014,294.503,209548,96.00
8,4,3,1228.273,409.424,209758,84.00
8,5,6,1267.451,211.242,266056,96.00
8,6,4,449.836,112.459,62174,96.00
8,7,4,836.756,209.189,130313,96.00
