puzzle_index,board,solution_length,execution_time_ms,nodes_expanded,solvable,algorithm
0,ABCDEFG#IJKHMNOL,2,0.115,6,true,BFS
1,ABCDEFGHIJ#LMNKO,2,0.021,10,true,BFS
2,ABCDEFGHIJKLM#NO,2,0.018,10,true,BFS
3,ABCDEFG#IJKHMNOL,2,0.01,6,true,BFS
4,ABCDEFGHIJ#KMNOL,2,0.027,15,true,BFS
5,ABCDEFGHIJKLM#NO,2,0.018,10,true,BFS
6,ABCDEFGHIJ#LMNKO,2,0.02,10,true,BFS
7,ABCDEFGHIJKLM#NO,2,0.018,10,true,BFS
8,ABCDEFG#IJKHMNOL,2,0.01,6,true,BFS
9,ABCDEFGHIJ#KMNOL,2,0.025,15,true,BFS
10,AB#CEFGDIJKHMNOL,4,0.087,52,true,BFS
11,AB#CEFGDIJKHMNOL,4,0.243,52,true,BFS
12,AB#DEFCGIJKHMNOL,4,0.189,40,true,BFS
13,ABCDEFGHINJLM#KO,4,0.068,39,true,BFS
14,ABCDEFGHIJLOMNK#,4,0.046,26,true,BFS
15,ABCDEFGHIJOKMNL#,4,0.063,37,true,BFS
16,ABCDE#GHIFKLMJNO,4,0.072,44,true,BFS
17,AB#DEFCGIJKHMNOL,4,0.064,40,true,BFS
18,ABCDEFGH#JKLIMNO,4,0.084,39,true,BFS
19,ABCDEFGH#IKLMJNO,4,0.081,49,true,BFS
20,#AGCEBFDIJKHMNOL,8,1.338,730,true,BFS
21,AFBCE#HDIJGKMNOL,8,1.473,832,true,BFS
22,EABCIFGD#JKHMNOL,8,1.208,585,true,BFS
23,ABCDEFGH#MKLJINO,8,1.451,763,true,BFS
24,ABCDEFL#IJHGMNKO,8,1.437,743,true,BFS
25,ABCDE#GHMFJKNIOL,8,1.584,865,true,BFS
26,ABCDFGKHEI#LMJNO,8,1.894,877,true,BFS
27,ABCDEFGHMIJLNKO#,8,1.608,858,true,BFS
28,EACDB#GHIFKLMJNO,8,2.078,1093,true,BFS
29,AFBCIEGD#JKHMNOL,8,1.587,617,true,BFS
30,ABDHEFGCIJ#LMNKO,8,1.607,886,true,BFS
31,FBDHAEC#IJGKMNOL,12,25.86,11575,true,BFS
32,ABCDEGOHIJFLM#KN,14,159.087,56746,true,BFS
33,EC#DBAJHIGFLMNKO,14,138.268,61381,true,BFS
34,BGDHACF#ENJLIMKO,16,495.674,177669,true,BFS
35,BCGDAFJH#EKLINMO,16,999.255,267216,true,BFS
36,BCDHAFGOEJLKIMN#,16,346.465,129438,true,BFS
37,AFBGEJKC#NHDIMOL,16,506.597,206195,true,BFS
38,EB#CFJGDAIKHMNOL,16,710.997,264357,true,BFS
39,FCGDBAKH#EJLIMNO,16,758.31,277922,true,BFS
40,BGFCAJLDENKHI#MO,-1,1647.41,514539,false,BFS
41,AFCGIEBD#NKHJMOL,-1,1750.6,514378,false,BFS
