puzzle_index,board,solution_length,execution_time_ms,nodes_expanded,solvable,algorithm
0,ABCDEFG#IJKHMNOL,2,0.007,3,true,A*-h2
1,ABCDEFGHIJ#LMNKO,2,0.011,3,true,A*-h2
2,ABCDEFGHIJKLM#NO,2,0.007,3,true,A*-h2
3,ABCDEFG#IJKHMNOL,2,0.005,3,true,A*-h2
4,ABCDEFGHIJ#KMNOL,2,0.007,3,true,A*-h2
5,ABCDEFGHIJKLM#NO,2,0.007,3,true,A*-h2
6,ABCDEFGHIJ#LMNKO,2,0.007,3,true,A*-h2
7,ABCDEFGHIJKLM#NO,2,0.008,3,true,A*-h2
8,ABCDEFG#IJKHMNOL,2,0.008,3,true,A*-h2
9,ABCDEFGHIJ#KMNOL,2,0.007,3,true,A*-h2
10,AB#CEFGDIJKHMNOL,4,0.009,5,true,A*-h2
11,AB#CEFGDIJKHMNOL,4,0.01,5,true,A*-h2
12,AB#DEFCGIJKHMNOL,4,0.011,5,true,A*-h2
13,ABCDEFGHINJLM#KO,4,0.015,5,true,A*-h2
14,ABCDEFGHIJLOMNK#,4,0.012,5,true,A*-h2
15,ABCDEFGHIJOKMNL#,4,0.015,6,true,A*-h2
16,ABCDE#GHIFKLMJNO,4,0.013,5,true,A*-h2
17,AB#DEFCGIJKHMNOL,4,0.012,5,true,A*-h2
18,ABCDEFGH#JKLIMNO,4,0.012,5,true,A*-h2
19,ABCDEFGH#IKLMJNO,4,0.012,5,true,A*-h2
20,#AGCEBFDIJKHMNOL,8,0.023,9,true,A*-h2
21,AFBCE#HDIJGKMNOL,8,0.024,9,true,A*-h2
22,EABCIFGD#JKHMNOL,8,0.02,9,true,A*-h2
23,ABCDEFGH#MKLJINO,8,0.038,16,true,A*-h2
24,ABCDEFL#IJHGMNKO,8,0.046,21,true,A*-h2
25,ABCDE#GHMFJKNIOL,8,0.024,12,true,A*-h2
26,ABCDFGKHEI#LMJNO,8,0.021,9,true,A*-h2
27,ABCDEFGHMIJLNKO#,8,0.025,12,true,A*-h2
28,EACDB#GHIFKLMJNO,8,0.026,13,true,A*-h2
29,AFBCIEGD#JKHMNOL,8,0.018,9,true,A*-h2
30,ABDHEFGCIJ#LMNKO,8,0.04,21,true,A*-h2
31,FBDHAEC#IJGKMNOL,12,0.089,45,true,A*-h2
32,ABCDEGOHIJFLM#KN,14,0.72,317,true,A*-h2
33,EC#DBAJHIGFLMNKO,14,0.224,81,true,A*-h2
34,BGDHACF#ENJLIMKO,16,0.09,42,true,A*-h2
35,BCGDAFJH#EKLINMO,16,0.606,297,true,A*-h2
36,BCDHAFGOEJLKIMN#,16,0.115,41,true,A*-h2
37,AFBGEJKC#NHDIMOL,16,0.239,101,true,A*-h2
38,EB#CFJGDAIKHMNOL,16,0.63,280,true,A*-h2
39,FCGDBAKH#EJLIMNO,16,0.388,147,true,A*-h2
40,BGFCAJLDENKHI#MO,20,2.198,852,true,A*-h2
41,AFCGIEBD#NKHJMOL,22,18.116,6201,true,A*-h2
